emissions_total_per_capita	renewable_share_of_electricity__pct
1.904633	94.03095
2.3061328	84.61539
2.3216877	89.77273
2.6530128	40.733303
3.6955829	36.29567
2.9858754	50.284634
3.335515	42.37875
0.41279456	84.65316
0.41865155	84.66216
0.4273149	85.48917
0.3971593	91.98645
0.67204034	51.707893
0.5470852	58.569298
